VehicleID,EdgeIDp,EdgeID,X,Y
vehicle_33,E63,-E7,327.03656210114633,-310.8962303265313
vehicle_34,E69,-E43,100.22911734446319,-255.8957722608303
vehicle_35,-E71,-E52,-245.25069274320137,-63.06307211022806
vehicle_36,-E56,-E53,411.6434854968625,-43.21462505240254
vehicle_37,-E55,-E15,260.48464962509644,-40.20196678986861
vehicle_38,E56,-E71,380.844394155977,-137.16586672659878
vehicle_39,E70,-E31,82.19298528151779,-361.782782806905
vehicle_40,-E53,E66,72.90888101279808,-123.51867882843504
vehicle_41,-E84,-E47,-369.7724052897513,24.32434066766342
vehicle_42,-E35,-E13,-281.81457090928075,-207.74832244708557
vehicle_43,E52,-E74,93.14093346381065,-244.4956769218906
vehicle_44,-E55,-E60,333.6036279210744,-47.21123832461768
vehicle_45,-E50,E67,-113.12423383902865,-178.22164613120935
vehicle_46,-E45,E82,-39.77887752914495,-359.84683090107086
vehicle_47,-E43,-E67,-244.6866028164727,-320.99700616042946
vehicle_48,-E7,-E73,134.58755943213527,-29.014248101611713
vehicle_49,E45,-E55,-95.45710467775069,-297.12487546477007
vehicle_50,-E78,-E52,-401.81907842042324,-104.04063994797826
vehicle_51,-E54,-E74,253.2685043914642,-40.36311194145878
vehicle_52,E68,-E55,190.05678473471295,-304.36051780196044
vehicle_53,E82,-E80,-477.42176484352416,41.69972022536581
vehicle_54,E68,-E59,185.77321584214036,-299.412106930629
vehicle_55,-E47,E44,-15.483827430206418,-269.4670529268295
vehicle_56,E75,E34,-485.46523621236423,-162.63660959863716
vehicle_57,E12,E16,107.14024003887056,77.76022779826263
vehicle_58,E5,E41,26.218986600381925,-6.08008992723029
vehicle_59,E51,-E54,15.978187668002363,-246.08616195944137
vehicle_60,-E55,-E74,315.34588952005635,-64.75311727852181
vehicle_61,E21,-E45,-35.97454172773388,-31.10192517796054
vehicle_62,E60,-E7,213.96432183714188,-326.5473636452179
vehicle_63,-E56,-E74,413.9460587069969,-72.75201090259941
vehicle_64,E55,E67,377.2362519358721,-111.83840252620138
vehicle_65,-E74,E43,-411.801876086971,-249.569598305221
vehicle_66,-E71,-E63,-230.674876176758,-52.65477092707033
vehicle_67,E72,-E55,-303.2277497141133,-109.44474323747977
vehicle_68,-E39,E57,-133.87206835135964,-236.05522144116622
vehicle_69,-E56,E75,426.91352329790897,-168.32071432670583
vehicle_70,E41,E41,-193.54723238179838,-170.14259894441025
vehicle_71,-E66,E39,256.10908249362757,-153.0152026532798
vehicle_72,-E14,E41,290.09872708754955,80.06196995134854
vehicle_73,-E74,E41,-441.1873069072481,-216.7679670664843
vehicle_74,-E55,-E43,404.94916274536735,-50.715975150174756
vehicle_75,E31,-E74,-2.041082260237715,-193.56137511966782
vehicle_76,-E47,E65,-37.941757465433,-235.2418796328537
vehicle_77,-E56,-E84,429.1108618500694,-101.96800668379404
vehicle_78,-E44,-E84,-153.36025923733712,-299.18214029426997
vehicle_79,-E74,-E55,-410.3667322753965,-190.70090375258505
vehicle_80,-E63,-E47,385.4735321347512,-256.3366813930144
vehicle_81,-E55,-E63,330.740586233348,27.10728483069755
vehicle_82,-E53,-E6,80.25769219105933,-161.4095828547255
vehicle_83,-E56,-E45,435.4658600654861,-11.698136822822278
vehicle_84,E52,E9,75.42212821210222,-228.5338572560145
vehicle_85,E68,E41,239.46070738436282,-312.7039161283537
vehicle_86,E41,E11,-212.23756948935477,-91.88595697284194
vehicle_87,E35,-E43,-318.64084096064767,-244.84266036147378
vehicle_88,E76,-E55,-434.3548335802382,-147.01526140529973
vehicle_89,E31,-E43,0.8302954386334136,-194.22034889105896
vehicle_90,E5,-E35,-8.936415014538738,5.009952439143149
vehicle_91,E67,-E55,201.6430396727664,-156.1006901204437
vehicle_92,-E54,-E73,221.9813773930702,-73.79941505844204
vehicle_93,-E8,E70,78.89891805035012,-44.16415728844959
vehicle_94,-E54,E41,214.79899667752494,-74.69853977841518
vehicle_95,-E9,E7,25.05602331759991,-52.76389731371307
vehicle_96,-E77,-E84,-371.93009379623834,-160.28113197131677
vehicle_97,E64,E52,280.88135290241627,-200.29972893088427
vehicle_98,E51,-E37,16.235837385481602,-248.43476093464653
vehicle_99,-E0,-E57,-52.92619297231454,60.7937553101101
vehicle_100,-E43,-E45,-434.0965776481524,-345.77589486227964
vehicle_101,-E55,E84,303.1161296775991,23.260716625793634
vehicle_102,-E40,-E55,-103.07654967031493,-65.12346672621618
vehicle_103,E44,E67,-148.9672820671363,-362.93711573056106
vehicle_104,E29,-E55,-42.52619166240072,-124.16932859468145
vehicle_105,-E35,-E35,-269.2614430572587,-213.86514819918872
vehicle_106,E57,-E55,405.68389012106064,-212.04851591777472
vehicle_107,-E84,E15,-372.2522605263925,-6.101048778071004
vehicle_108,-E55,-E55,389.5647508132719,41.03772780566635
vehicle_109,E71,E82,-254.55383675293967,9.377072740736878
vehicle_110,-E55,-E54,260.3384824465972,22.516042237668955
vehicle_111,-E31,E65,21.612089469725163,-149.83842856255933
vehicle_112,-E71,E29,-243.14767003392515,-37.02810128155221
vehicle_113,-E55,E51,375.1159551929498,-87.34462685993361
vehicle_114,-E55,E33,305.26399066960386,-58.062281149976286
vehicle_115,E34,-E52,-254.11057630608573,-219.47021467407248
vehicle_116,-E28,-E73,-12.364967581257815,-92.5309884241725
vehicle_117,E72,E42,-318.05684422316585,-67.88211886896653
vehicle_118,-E54,E59,237.9429068144962,-94.52667281483355
vehicle_119,E73,-E60,-329.50680976724834,-149.10590300031177
vehicle_120,E39,-E82,-140.30101656691943,-223.36922142535894
vehicle_121,-E54,-E47,166.38456948821516,-81.81969597778857
vehicle_122,-E13,E16,60.061445827118234,33.86116945477664
vehicle_123,-E10,E47,-19.003857067521437,-35.79621146807477
vehicle_124,-E21,-E32,-80.7009847945501,-78.04081272883366
vehicle_125,-E73,E16,-280.41131709749993,-181.03773337358058
vehicle_126,-E36,E41,-228.07183751275386,-263.74920976446174
vehicle_127,-E37,-E11,-160.4006704284614,-262.3577566603323
vehicle_128,-E15,E42,253.81973411929783,44.97964353128532
vehicle_129,-E16,E82,96.72347779166938,32.73262042209643
vehicle_130,-E82,-E74,-384.08390894603514,-13.893664903487092
vehicle_131,E62,E41,293.162660535169,-292.72340090910984
vehicle_132,-E74,E76,-432.4466626371327,-305.3297892045802
vehicle_133,-E54,E75,166.75837603432495,-84.93070335054875
vehicle_134,-E55,E81,386.0592635063196,54.48886220786244
vehicle_135,-E54,E67,242.61477292797446,-38.12544379724528
vehicle_136,-E72,E29,-283.4785818480267,-79.32717212669542
vehicle_137,-E56,-E5,415.9469185734733,-101.06083105035327
vehicle_138,E8,-E51,75.01528284722195,-19.99017899009641
vehicle_139,E6,E44,85.74477832181316,-8.595363466897027
vehicle_140,E60,-E55,210.46481062047388,-351.3997773945206
vehicle_141,E70,-E74,22.470965279705467,-345.5918680178771
vehicle_142,-E74,-E83,-457.3171545614213,-240.55604207530632
vehicle_143,-E76,-E0,-461.5835760832122,-124.75831526769585
vehicle_144,-E55,E57,331.042607862288,-8.473156691384133
vehicle_145,-E72,E59,-286.6267036681098,-139.71925785222348
vehicle_146,-E68,E70,237.04522602769617,-241.5965027563428
vehicle_147,E79,E70,-411.6369282222296,-55.354338515456845
vehicle_148,E68,-E55,197.63153673704795,-287.8722237538368
vehicle_149,E21,-E10,-53.8325033494753,-3.029993259095704
vehicle_150,-E77,-E54,-392.7123257509709,-129.74627593665133
vehicle_151,-E84,-E7,-319.36911792076955,18.94362252575587
vehicle_152,-E43,-E37,-434.2577627803102,-338.3062427979595
vehicle_153,-E43,E53,-235.77995035215838,-313.20287719657154
vehicle_154,E65,E78,386.9403306562306,-189.54087566258164
vehicle_155,-E72,-E8,-248.2612426028157,-151.61058727026293
vehicle_156,E70,E51,102.36202057751399,-356.017640065156
vehicle_157,-E72,-E73,-289.7532190797747,-9.547671228439981
vehicle_158,E70,E82,83.88399004334741,-333.84722968657
vehicle_159,-E0,-E7,-48.046792454725676,68.26476195576015
vehicle_160,-E40,E43,-123.51418540920002,-76.78964630513656
vehicle_161,E39,-E55,-129.6162561692962,-195.72115490626808
vehicle_162,-E71,E53,-240.84274621691964,-40.853110253991474
vehicle_163,E54,-E50,195.35004079431297,-123.04338986401993
vehicle_164,-E43,-E62,-415.1799788384074,-356.2183183103359
vehicle_165,-E44,-E74,-145.91730920615942,-325.83760392206597
vehicle_166,E53,-E43,131.87846472261168,-160.57162430246743
vehicle_167,-E56,-E15,417.71424448569763,-133.07589931823316
vehicle_168,-E36,-E8,-217.66231101182655,-263.4075757561068
vehicle_169,-E41,-E54,-148.33783895470572,-58.54825871249278
vehicle_170,E8,-E55,90.77927133367592,-38.185764399511356
vehicle_171,-E50,-E84,-107.9178145044313,-182.22336317843747
vehicle_172,E57,E39,407.8927438378043,-213.12287817860502
vehicle_173,-E55,-E82,323.8963823107668,-43.09100899567204
vehicle_174,-E43,-E47,-442.63210979880665,-347.9305905516222
vehicle_175,-E0,-E55,-63.849008284439606,60.45692897641743
vehicle_176,-E39,-E31,-165.0146998817337,-241.05802543621277
vehicle_177,E37,E41,-155.59223686742024,-286.27209687065624
vehicle_178,-E7,-E8,172.8879779239814,-24.58008030130344
vehicle_179,-E54,-E74,233.86525914922396,-79.20274780737606
vehicle_180,E29,E72,-71.70667272482268,-95.5079143661332
vehicle_181,E82,-E73,-483.9718904611309,44.071749419009905
vehicle_182,-E74,-E29,-433.0697496564699,-257.7964011747234
vehicle_183,-E35,E44,-269.5634284374552,-199.48237593539642
vehicle_184,-E73,-E74,-322.7303288159457,-195.45224624086975
vehicle_185,-E68,-E74,243.21088901518573,-255.74248386186343
